Comment,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula
CommentSub1,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02
CommentSub2,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo
CommentSub3,0,0,0,0,0,0,0,0,0,45+,45+,45+,45+,45+,45+,45+,45+,70+,70+,70+,70+,70+,70+,70+,70+,70-,70-,70-,70-,70-,70-,70-,70-,70-,45-,45-,45-,45-,45-,45-,45-,45-,45-,45-
Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission
439.2512014092,53.6082332834569,54.1163876332757,53.5693175231565,52.8479138047551,52.233472190532,51.1207738765087,50.1864582094117,51.2357215846793,52.3084918787412,49.4975592734577,49.9837813306216,50.3873355154711,51.0480036542128,50.3638285966769,50.0793836319377,49.2179506604322,48.8831176592346,48.3097287979296,47.14191856903,47.2667639272193,47.5239903544073,47.4776513565929,46.2714877338713,47.3149024977643,47.2443817413817,44.9041498784603,44.5084688243075,44.5668424647581,43.7231802739678,44.1152621826593,43.7776173490701,43.7137325171319,43.6395001419923,43.7959504962637,42.437610504506,42.2703627138507,41.9780446184149,41.9457647825588,41.9543127530294,41.5530080340933,41.5679669824169,41.6778533922825,41.5770773193658,41.4408721583143
442.59948448155,55.9420184093536,56.3970132978898,55.8993559725476,55.1423110314248,54.5135733689962,53.3451558809714,52.3689326707578,53.4656772649484,54.5847129823702,51.6235132436647,52.1383421998213,52.5670996897217,53.2319937673435,52.5870443789285,52.228999878034,51.3449275313214,51.0024548198611,50.420325869643,49.1900478482495,49.3410728745428,49.5657972604185,49.5333738084459,48.2628864403628,49.3771226336439,49.2987304060128,46.8510797503597,46.4336278062128,46.5139398435001,45.6044833468879,46.0262015347153,45.7021803271737,45.6185619510339,45.5308906433975,45.6926879349843,44.2682958261235,44.0981793593595,43.8037018893059,43.7634925426163,43.7735182152657,43.3449740375492,43.37835739435,43.4652821093422,43.3793172991781,43.2271190558726
445.9481187776,58.4653614300867,59.0432341923564,58.4667837610768,57.6743422094413,56.9931472602468,55.7887376968315,54.7600876057661,55.8962252816559,57.0517676160537,53.9787199168393,54.538610351591,54.9744532049906,55.6772879042489,54.9733356592126,54.6176513166131,53.693237768109,53.341414038197,52.7027874236353,51.4376240079279,51.5686816491599,51.8321176675434,51.7829456533137,50.4410779592108,51.6267940296132,51.5502929413591,48.9901987542226,48.5450091543166,48.6434547778467,47.7021764476027,48.1331427376075,47.7787791309274,47.7466750885791,47.6229322924391,47.7715658809061,46.3068697462997,46.1155662281292,45.7948305898583,45.7492144031038,45.7752227412088,45.3084949863096,45.3622387787218,45.4706407191827,45.3466947329013,45.1925750106152
449.29709293125,60.4796705867258,61.061423274691,60.4617585227054,59.6393611485538,58.927064559223,57.7099203394056,56.6103727138087,57.8094101732577,59.0077661954885,55.8406407018039,56.3981536944372,56.8403091008525,57.6048816596341,56.8900540177786,56.5159449850058,55.5478173943408,55.1616371879891,54.5146612234281,53.1884870487042,53.3403502001811,53.6190580224107,53.566684704786,52.1968011999255,53.3995378899874,53.3104643107558,50.6979313644838,50.2187836519395,50.3253799024954,49.3323311792804,49.804859215991,49.4267589080833,49.3574470081785,49.2669132063365,49.446131194714,47.9200038705456,47.6928905805485,47.3855623951559,47.3471098664165,47.3527560605099,46.903786281913,46.9377607946472,47.0013291522846,46.8983347841676,46.7769416111602
452.6463955764,61.6703749672257,62.2649403475475,61.6479776008888,60.8377199363476,60.1169576305729,58.8437896928753,57.7486714068979,58.9636814773846,60.1763388833401,56.9249565012384,57.5214981197664,57.972645070267,58.7388608547843,58.0054882671224,57.6404488384633,56.6672926817827,56.2634813416496,55.5906192857298,54.2510121016714,54.4130636345797,54.6994299613159,54.6318614359801,53.2279794569297,54.458423006741,54.3824789956742,51.7027940946512,51.2226623171263,51.3358725343671,50.3233798267251,50.7971123567251,50.4044996997604,50.3578228354617,50.2516706118145,50.4198390725038,48.8886308890254,48.6673863165125,48.3398013071899,48.3009352891347,48.328414410859,47.8689860812086,47.8781144195896,48.0005470817926,47.8654100311212,47.7294260212185
455.99601534695,62.1577843870772,62.7626435592282,62.1541219034432,61.3130325369007,60.5853886009206,59.3021458976663,58.1954349055698,59.4270365895849,60.6563492213289,57.3742145127416,57.9744040182593,58.4248895052384,59.2165353427222,58.4551965573095,58.0786016776459,57.0872589200196,56.7026065763613,56.0314564504353,54.7017002050296,54.8560738902016,55.1297529797505,55.0706038690618,53.6700701274295,54.900206817991,54.8147793872286,52.1020693216337,51.6546969457435,51.7219950825178,50.7385266647045,51.2043945829462,50.8042682459344,50.7588534488731,50.6473308222185,50.8158966314723,49.2749982045679,49.0580876113457,48.7377118554637,48.7015448295781,48.7117997837533,48.2433681269678,48.257194002686,48.3796125181517,48.248129355692,48.1042853109676
459.3459408768,62.8915854380901,63.5003869047869,62.8863681678377,62.0292965994739,61.2982490935867,60.0148905644256,58.9081996003638,60.1246331455973,61.3744392298592,58.0625520547941,58.6505743934165,59.1384791149536,59.895163207426,59.1423470911752,58.7610365980713,57.7595905684119,57.3849365925266,56.7110092006099,55.3430949121854,55.4915172555733,55.7798164134875,55.7314217342495,54.3101653551407,55.5510660987993,55.4784740799423,52.7405765855793,52.2670643337041,52.3526095752568,51.3329930526493,51.8198183389617,51.4364389283439,51.359439215653,51.249876540352,51.4381480341163,49.8466107483205,49.656180384107,49.3220052291457,49.2638056799505,49.2868336314095,48.8039662742541,48.8288832373562,48.9491503119681,48.8313119666116,48.6916150579562
462.69616079985,63.0439968968829,63.6552546687087,63.0292012144502,62.1767559928489,61.4539958190759,60.1438648788502,59.0280386838244,60.2574172849899,61.5150502917648,58.1917261039117,58.806459969803,59.2578174146157,60.0204189742164,59.298550106614,58.898264505379,57.8963472389611,57.4914268456388,56.8284733159158,55.4618335644715,55.6233382425917,55.9041888169608,55.843401736123,54.3998422621524,55.6999905732668,55.5799316320815,52.8606456360719,52.3690011523462,52.4714122313529,51.4659297402524,51.9114045643389,51.5427603321617,51.4776949817049,51.3659251879065,51.555684271636,49.9770919128132,49.7707545343097,49.4316125363807,49.3851754848903,49.3951581140015,48.9134962593869,48.9494158980638,49.0605617775427,48.9421963180816,48.7700850965307
466.04666375,62.5530749716693,63.1706238618967,62.5303212992603,61.6930572598329,60.9691171747866,59.6914451400978,58.5611386868708,59.798280742581,61.0316008923787,57.7559608808015,58.3321798582545,58.8110735572391,59.5651444819209,58.8324940066555,58.4525254537306,57.4422090698483,57.0640181475804,56.3677202192499,55.0256979547791,55.1803518219345,55.4716166050772,55.3950007237622,53.977873564035,55.2439909994536,55.1434659858026,52.4301794325542,51.9399088973651,52.0484332489724,51.0553598824626,51.5251876650967,51.1319757637775,51.063892509616,50.9732333461112,51.1384641156754,49.577082228136,49.3681217444106,49.0379268498806,48.9916195712668,49.0079737733108,48.5340574401657,48.5682768303122,48.6935109100949,48.5370794122826,48.4054458621348
469.39743836115,62.3388004743652,62.9625298010839,62.3223677429626,61.5019814893489,60.7617048013232,59.4907580589787,58.3855675638263,59.609359511711,60.8277036519024,57.5652706185355,58.1297885272109,58.623842169165,59.3622433824111,58.6341126262917,58.2700025940706,57.2580499879639,56.8539298271102,56.180009222955,54.8492259043074,55.00462238605,55.2715649630205,55.2235170853323,53.8156606840732,55.0428463482258,54.9595216830155,52.2541046592054,51.7855931975836,51.8640952133605,50.8630382226403,51.3335144673646,50.9560974950402,50.8860797699332,50.7740871330911,50.9658321022298,49.4017754443225,49.1869889278909,48.8552085085381,48.8167166213938,48.8363644524187,48.3730328735217,48.391341079704,48.5171765065864,48.3808920059317,48.2277282322601
472.7484732672,62.6330939867695,63.2329519953626,62.600308954468,61.7615885676784,61.011766056937,59.7705283367535,58.6494423558288,59.8544724304485,61.1091303973708,57.7994633727818,58.3882429226576,58.857321077125,59.624706998028,58.8595727963765,58.4923624208459,57.4912480416398,57.1225965657882,56.4396951512006,55.0894742192458,55.2461938791485,55.5073032435496,55.4491188180914,54.0487295812137,55.2863645505948,55.1926029609633,52.4673921852874,52.0127250340294,52.0756831043006,51.0758296878754,51.5340995899357,51.1486052540831,51.0909612412453,50.9731512900081,51.1649077014638,49.5972607585864,49.3838878423166,49.06873721588,49.0250538624014,49.0205504238984,48.5792134506092,48.5733589805554,48.68729597468,48.5952456916797,48.4261866102789
476.09975710205,63.3670010452634,63.9827050008269,63.3435874664422,62.485333467778,61.7206423251062,60.4668268873731,59.3333718782676,60.5668833531168,61.8195098200504,58.4867332097217,59.0796638015099,59.5658613992186,60.3236930949701,59.5582702779602,59.1228325874614,58.1688207097902,57.7747226193976,57.0829245326653,55.731613489372,55.8759362525745,56.1608319479964,56.0968104434072,54.6764476344499,55.9348360367966,55.8412731808041,53.0657580382781,52.6271192725499,52.6861105160642,51.6872835851806,52.1427508606866,51.7545976242915,51.6927711427168,51.5682035866447,51.7481040145403,50.1644863688806,49.9494655727532,49.6343883108821,49.5867380196093,49.592042658561,49.0961503758715,49.1346547379173,49.2569358116827,49.1404166733303,48.9720401162608
479.4512784996,63.8202342423178,64.4538938622901,63.787925632163,62.9335216352948,62.1847275750888,60.9062964143105,59.765877177835,61.0151745629824,62.2806262532072,58.9199705321926,59.5219751844122,59.9931579787506,60.7601606487259,59.9938116211525,59.5895804842736,58.6021135698605,58.2115155459371,57.4867194996321,56.1053863492856,56.2745863539113,56.5604148385467,56.5320280828037,55.0600253935546,56.3532101971204,56.256004234198,53.4760630985958,52.9778008333183,53.1439193809061,52.048508092681,52.5219319466834,52.1340418698538,52.0524299470929,51.9706312693599,52.1660703475506,50.5593239460086,50.3313895026911,50.0029808844413,49.9627351879768,49.9715126716605,49.4853894795627,49.5179782221754,49.6545894841883,49.5104146458097,49.3334643098463
482.80302609375,62.7996678144087,63.4155252308031,62.768232826457,61.9430643927259,61.1693611679278,59.9400422945865,58.7712932760788,60.0414392984062,61.2884882716593,57.9910730415834,58.5606405214515,59.0425158855398,59.791780323973,59.050087117394,58.6714296863055,57.664839203207,57.2829232672699,56.5856032296593,55.2454951914639,55.3898277885834,55.6900894265485,55.6212774712153,54.1915605496821,55.4722487935786,55.370755951381,52.6348577774295,52.1441652825743,52.2577337603875,51.2317839249529,51.6987085020886,51.3092213342972,51.2685858620671,51.1639303533987,51.3489942611263,49.7637316522591,49.5573916246374,49.234128775976,49.1928224351005,49.1983810610187,48.7287730093018,48.7501449675739,48.8817310604325,48.7458322405683,48.6004454212919
486.1549885184,61.5142362047238,62.1053158176283,61.4639904812708,60.6711367033186,59.9260559262086,58.6876175337761,57.5740021787407,58.797604235508,60.0098317682652,56.7901491110921,57.3494789656729,57.8200875329754,58.5719930244914,57.8563871009031,57.4709391003193,56.4872900457117,56.1056005834964,55.4251073209826,54.1186196022987,54.2657960520982,54.5258275618582,54.4904181740704,53.0896702694598,54.3116897837561,54.2211881361979,51.5632091473121,51.0906224019209,51.1704418878001,50.1792757564554,50.6504777771845,50.2787781143172,50.211915694919,50.112808972675,50.2895591849006,48.7496464517497,48.5455973819,48.2333419705982,48.176469350548,48.1911078684044,47.7438418025487,47.7498752457192,47.882116450949,47.7383029039003,47.5971598972713
489.50715440745,61.7061819877746,62.3144027584551,61.6671856241627,60.8341742967453,60.1202958393152,58.858630766331,57.7515219616936,58.9574487767403,60.2049240734364,56.9608757936976,57.5253022188557,57.9834584489353,58.7503188768224,58.01173591679,57.6230993820501,56.6446173264992,56.2672101111239,55.601617726962,54.2789059905225,54.4271330061364,54.6900011639918,54.6405921587871,53.2444815075911,54.480012891872,54.3976305216237,51.7131086004112,51.2437230509669,51.3205928462543,50.3619152266739,50.8078212901738,50.4149992818525,50.3698778349507,50.2547262691018,50.4408267163913,48.8974078120747,48.6812944566651,48.3847383407156,48.3389023007634,48.3411481646363,47.875846004052,47.9096360468676,48.0259105446529,47.9050422344002,47.7538547618628
492.8595123948,62.8002660482397,63.4058365358643,62.777136619893,61.9457388045917,61.1707978212096,59.9244370346141,58.8050778363955,60.0299913348876,61.2768777903091,57.9794623781809,58.5531773349461,59.0477265665062,59.8034280708544,59.0484625028627,58.6576802975675,57.6594351968738,57.2877873368472,56.602315187661,55.2665907006349,55.3946436266638,55.6842871498246,55.6504340774261,54.1993778499617,55.4604573636869,55.3812916384818,52.648759946841,52.1823865643579,52.2691219206583,51.2723486926776,51.724003348031,51.3478347361003,51.2180996698279,51.1752050936212,51.353617093187,49.792485813545,49.5755948559114,49.2663964524211,49.2097293529715,49.2290739657707,48.734735001741,48.7714266858002,48.8968512676988,48.7704804819133,48.618562191181
496.21205111435,62.9048645882302,63.5055724599645,62.8830481570741,62.0445195853112,61.2931487360384,60.0322238164954,58.8842691295728,60.1348258442098,61.3768503902265,58.0711210594024,58.6391042844025,59.1238178637523,59.9098573981792,59.1595665702507,58.7833951360093,57.7637469847969,57.380015401145,56.6894497535598,55.3153385971276,55.499374234207,55.7755356919604,55.7310388125727,54.2889943135802,55.5786478008832,55.4817698862939,52.7291194859177,52.271406440177,52.3663403163464,51.3540363102757,51.7985730956152,51.4451901117399,51.344964130983,51.275626760675,51.4550183059736,49.8882313417072,49.6770871688844,49.3497326994082,49.305127817886,49.3327763643017,48.8385585971215,48.8704192267802,49.0012098115825,48.8558389386313,48.7075520080504
499.5647592,61.7978725343981,62.4014697860065,61.7755906183117,60.9449825582584,60.2073628905856,58.9731432911253,57.8642318930223,59.0779344806406,60.2968214744771,57.0337341394843,57.6237636897134,58.0890365711616,58.8302963538386,58.1037073376937,57.8168000914522,56.76348317705,56.3596510246124,55.6781773732168,54.3621103394193,54.5063912614046,54.7884450209738,54.7191725293784,53.3059254556198,54.5754431399695,54.4745126784889,51.7902036291667,51.3088259964877,51.4176985270684,50.3976941802806,50.8795130390206,50.5086625346516,50.4162256748475,50.3513654438633,50.5107583584419,48.9701072595356,48.7703421603648,48.4618148371285,48.406330659943,48.4147139551043,47.9536327212367,47.9683034877689,48.1038701950472,47.9633396945813,47.8099033318278
502.91762528565,60.9793411602336,61.5328375802194,60.9344509396345,60.1136332559815,59.3793414725331,58.176171334928,57.0944292440432,58.2726853092159,59.4683363348707,56.2696836660878,56.8174565829473,57.2605230602596,58.0086185865422,57.2916095380244,56.9290087811359,55.9442295667449,55.5454921822742,54.8723633243919,53.5980421871374,53.7609936879118,54.0136134043328,53.9350555182845,52.5699439098684,53.7868055647562,53.6719988255742,51.0399729663025,50.5825416183985,50.5640244024014,49.6898995817871,50.1457597719701,49.7623972880545,49.6946130549499,49.5862031722033,49.7726098132407,48.2455567340137,48.0443363201786,47.7183210930783,47.6881324197254,47.6986816215662,47.251799475503,47.2606652940713,47.4026306167157,47.2374346049113,47.0974893421939
506.2706380052,61.1819652889061,61.7481782128852,61.1385851571451,60.3161796225569,59.5915497252624,58.3577143022714,57.285589108672,58.4594645589672,59.6693387049907,56.4346798749424,57.019630290389,57.4700114489331,58.1983888445212,57.458541832944,57.1059363116934,56.1339715270289,55.7407113273218,55.0677514822556,53.7782713876341,53.9145440528517,54.1824334005586,54.141778722102,52.7583840490347,53.9508834302431,53.857195972906,51.1815957519128,50.7575606419774,50.7981017598796,49.8542999926934,50.3053625145637,49.9051751210413,49.8774663457804,49.7452818605194,49.9318618513131,48.3927756582347,48.1789411343975,47.8776649837122,47.8246322048317,47.8312187169839,47.3912851294398,47.4084327731463,47.5520868743965,47.4074107281572,47.2290070972765
509.62378599255,61.5640914285136,62.1457143225964,61.5451378752317,60.7120949550848,59.9732489111881,58.7347598000541,57.6547497970841,58.8370633165634,60.0822889315746,56.8238762595417,57.3852896419927,57.856616557339,58.6136169082948,57.8820782584345,57.5111138330566,56.5050911947048,56.1446311482542,55.4495152905439,54.1468581255281,54.2900373774283,54.5634937636333,54.5164524145241,53.1111491989035,54.3368503704738,54.2488191079419,51.5915537734328,51.1220537065956,51.183367309682,50.2282680735213,50.6673967838948,50.3061374912214,50.2268979371395,50.1289331858393,50.3021412601078,48.7629072131642,48.5746276386957,48.2511612745543,48.2142817702769,48.2167936869769,47.7539159459852,47.777322442508,47.8991504024582,47.788626067658,47.6215836071077
512.9770578816,60.974144128291,61.5355995497179,60.9366680643455,60.1339033531234,59.3924942709828,58.1778356252381,57.1073684206495,58.2822658765984,59.4789862844179,56.3006047391894,56.8521198631673,57.3237698386761,58.0483832458168,57.3513056051726,56.9656906179289,56.0042239164011,55.6208940550077,54.9602641716764,53.6526009038232,53.8061613609656,54.0633522754206,54.0327315890261,52.6223519142004,53.8612328939586,53.7854809720201,51.1387339558715,50.6874216004307,50.7796264284917,49.8135894752633,50.2468493364865,49.8997387198208,49.8039919466919,49.7141865007738,49.8998529761134,48.3739601895533,48.1855515631933,47.8556936466977,47.8146756376842,47.8356987955073,47.3766170121754,47.4206056847943,47.5137245631954,47.3887281791821,47.2483071956792
516.33044230625,59.9678619384972,60.5422093536143,59.9387925556839,59.1552818470426,58.4327487109434,57.2562335729387,56.1739668245243,57.3395809439739,58.5411911351104,55.3823939042433,55.9345986254205,56.3951666593696,57.1234909615762,56.461367636636,56.0801726440405,55.1144105314327,54.749794171223,54.1095864356694,52.8120245707935,52.9625948895846,53.212069241307,53.171417526279,51.7962994564752,53.02345890985,52.9522616324126,50.3565701412777,49.9039507666916,49.97310410315,49.0252832502473,49.4926644207933,49.1272531946472,49.0975024981742,48.9796352350482,49.1498500976936,47.6394912664417,47.4747269130738,47.138725726571,47.1000044002454,47.1106783142472,46.6707767946419,46.7001868342851,46.8090834675586,46.6889451589003,46.5330378831083
519.6839279004,60.3898972088505,60.9539465320803,60.3490143029055,59.5619060477891,58.831067946185,57.6269315872948,56.5362340608343,57.7275664326978,58.9201342769936,55.75530316788,56.3217111202989,56.7813068651528,57.5138297018921,56.8103966251521,56.4737865451601,55.4861948089675,55.1275708565436,54.4619881625054,53.1886653474007,53.3274875225325,53.5944618836072,53.5239276392846,52.1738932176951,53.3654502209099,53.2889632457766,50.7154741690813,50.2495887463897,50.3483142253063,49.3825117301942,49.8164995009946,49.4591110210031,49.4074458101936,49.3070355961419,49.4895485691105,47.9875510383356,47.8104292177992,47.4659570405102,47.4418091702405,47.456410208078,47.0172559161965,47.0463456761958,47.1742732307874,47.0271396956558,46.8749519551189
523.03750329795,61.4435850540407,62.0303051214981,61.4172876197554,60.5832832752792,59.8722581087842,58.6419138618654,57.5331123784501,58.7528492569176,59.969823799851,56.7250739879951,57.3041700093782,57.7662534975339,58.5306469865491,57.8247045174369,57.4060449438783,56.4762428030771,56.0578042163613,55.4408089514493,54.1225119411227,54.2829483889472,54.5376357251975,54.4901235540098,53.0923817737205,54.3242729285383,54.2331158559108,51.6118804208274,51.1515648274135,51.2347663737027,50.2766779170316,50.7274910762079,50.3540233119883,50.3031963381596,50.1984485747039,50.3680559765019,48.8546275840415,48.6644684058694,48.3494516615528,48.2859179442669,48.3261375496444,47.8622861667468,47.8889150812962,48.0207337329867,47.8700207062424,47.7362131729673
526.3911571328,62.2588242538535,62.8571103787137,62.2427483013336,61.4150539891631,60.671106699917,59.420549663694,58.3188038095805,59.5491572838528,60.7865711426778,57.5146803196857,58.0898301074734,58.571456955264,59.322899114266,58.607410605832,58.2232170648679,57.2407373990434,56.8508955504371,56.2013401715947,54.8525894794397,55.0103076082155,55.2880522743861,55.2530762155253,53.8262268080881,55.0880804595953,54.9926023361835,52.3297511468318,51.855727790098,51.9570714637535,50.9643813956529,51.4447047878338,51.058012956951,50.9982712415056,50.8913878815088,51.0444352943497,49.5546941537437,49.3501602443189,49.0131083479061,48.962382200428,48.9784581529478,48.5166003819046,48.5486436656435,48.6743185106804,48.5593971744237,48.386797927437
529.74487803885,63.0258528201495,63.6349452279474,63.0022943936875,62.1593310613765,61.4124218587762,60.1583639847043,59.0490833496166,60.2851511525722,61.516614353992,58.2351397153565,58.8194957753693,59.3020151828126,60.0466756265233,59.3393874138818,58.9529221361492,57.9400168820423,57.5614758023015,56.8902748156494,55.5259206722329,55.6910438249798,55.9764220364392,55.9207384829837,54.4716810880608,55.7657882871181,55.6851542183643,52.9886781422815,52.4924520139876,52.6135637427533,51.5983026460002,52.0756820331245,51.7233764737617,51.6355677933127,51.5533274682092,51.7177010346596,50.1719470074861,50.001148415637,49.6495924425708,49.5899467901194,49.6327802927775,49.1543300680867,49.1743547305794,49.3040331598767,49.1791734996284,49.014799933178
533.09865465,63.5551378853774,64.2368456237514,63.5375276325653,62.7062388311494,61.9758376828916,60.670451171735,59.5600504718345,60.8151522852025,62.017953769436,58.7384154837071,59.3326023873225,59.7991680009809,60.5769895287989,59.859106512058,59.4475994599023,58.4785051259392,58.0672102455041,57.3812590727176,56.010523671608,56.1721985227256,56.4587364314321,56.415029056983,54.9603797403655,56.2366987257962,56.1873688007504,53.4587343876291,52.9728611473937,53.0813869824943,52.058401031492,52.5466081606544,52.1784902253668,52.0914998199098,52.0081163337035,52.1785963112271,50.6453373721174,50.4245726968051,50.0972978177383,50.0744893577709,50.0882805196116,49.5894648044179,49.6303078606386,49.7606873829638,49.6274435424101,49.4607826558578
536.45247560015,63.3153827916165,63.9280728099817,63.2921267867786,62.4675957061629,61.707441475303,60.4371350655903,59.3173584326465,60.5622946552633,61.7817549816713,58.5024468813046,59.0869125665257,59.5556267731218,60.3516163932547,59.6191579499744,59.2300427053915,58.2320429705078,57.8450419081829,57.1424991438532,55.7975621004335,55.9681766086532,56.2498913945303,56.1682839593719,54.7416337716809,56.0153228730064,55.9395294390575,53.2700572110077,52.7649790695741,52.8521890877162,51.8499609883165,52.3345315618476,51.9467905357324,51.8867477596055,51.7922438126734,51.9564100650063,50.4019575598199,50.2314487607131,49.9015306193539,49.8692893399196,49.867809412339,49.4050149160652,49.411463171952,49.5604073120274,49.4352477223544,49.2596648858284
539.8063295232,62.7225948655935,63.3112859649048,62.682293790336,61.8517962394797,61.1254273830714,59.8671265333428,58.7723509889784,59.9806447453246,61.2033920286612,57.9609489737807,58.5195725169444,58.9873603904831,59.7494938136775,59.0507660088856,58.63013672341,57.6663924237311,57.2649641741111,56.6169819640806,55.2462179043402,55.4373842613209,55.6729662012424,55.6351971307131,54.2246594967002,55.4806393420946,55.3860056653774,52.718011183212,52.2614063305562,52.3351509682656,51.3311055933292,51.8166174999655,51.4429358021589,51.38680969735,51.2659064715775,51.4506373165406,49.9068529337051,49.7081960627368,49.4036169939713,49.354348401968,49.3718614346715,48.9137795792576,48.918316087729,49.0745618794996,48.9344576178714,48.7668178048238
543.16020505305,62.4630971377522,63.0767636198505,62.451312047561,61.6324587273126,60.9231436114304,59.6567725359754,58.5478165937885,59.7567353545614,60.9952220648319,57.7271744652074,58.3127461340821,58.7793094368297,59.5186133982877,58.7989863284882,58.4078686477681,57.454223358458,57.0538459640162,56.3905137446836,55.0441724143599,55.1969576907671,55.494425994075,55.4207691803801,54.0063479093983,55.272298088775,55.1703360138173,52.5112198154109,52.0406579999198,52.1028453954823,51.1525672747981,51.6273380510717,51.2394823149581,51.1778210394935,51.0837507660031,51.2376935066255,49.7149967195122,49.5225419877294,49.199819919726,49.1582564319982,49.1567832957243,48.6999006027766,48.730941688548,48.8621560409445,48.7356767694284,48.5741578993974
546.5140908236,62.903311655439,63.4961663655723,62.8632425649806,62.0375256013978,61.3304425155859,60.0491756570794,58.9399331659859,60.1828092205454,61.3947418675519,58.1256495292617,58.7056024118391,59.1725856336214,59.9397723551209,59.2167455474512,58.8457393355366,57.8384527500074,57.4449994560035,56.7705380642559,55.4133287411109,55.5712974589915,55.8489489837124,55.7981808167442,54.3844342167482,55.6558411420006,55.5976255786382,52.8883466847892,52.4117133155667,52.5209068317112,51.4962080236268,51.9732609644772,51.6111706496541,51.5440391892002,51.4483768580535,51.6018351809347,50.0707134180514,49.8788642912231,49.5533816009287,49.5138369750051,49.5406895591866,49.0682519062424,49.0916430244943,49.2111160455208,49.0888109160064,48.9070315082461
549.86797546875,63.3330633511805,63.9615391595281,63.2988776024014,62.480295678892,61.7345669212258,60.4670885953029,59.3555306357628,60.5998710463535,61.819093269579,58.5483092202317,59.1208162874379,59.6092139056663,60.3527539416118,59.6530925649224,59.2619367259956,58.2723218337468,57.8569858310494,57.1962003211118,55.8157422644677,56.0027216343144,56.2767287487664,56.2187797355921,54.7821444881189,56.0548340562338,55.9782287960123,53.2730729741778,52.8013513309637,52.9173535821562,51.8822966579937,52.3769477668524,51.9946510396519,51.9354513283515,51.8385222235814,52.019143877954,50.480889407738,50.2658735548987,49.9480920060344,49.9031710983399,49.9092161392826,49.4604239617129,49.4855421490781,49.6042542462104,49.4714717951599,49.3114866598674
553.2218476224,63.3643129939204,63.9967707118963,63.3452979252754,62.5001607982155,61.7663238283877,60.4984114522691,59.3720786633444,60.6189091155305,61.8631559986072,58.5698287835002,59.1598126253179,59.6291954611098,60.396205458302,59.6782832741879,59.2941582190056,58.3110585015048,57.9029579249874,57.218002082709,55.8752695451828,56.021602899538,56.317473233944,56.263734996469,54.8150761254582,56.0937361490719,56.0103385382211,53.3485389562106,52.8454663792324,52.9437453481532,51.9509314108012,52.4283749822144,52.0362925341751,51.9999158811151,51.8982266009699,52.054997574527,50.5279015453556,50.3314469502784,50.0033336733874,49.9643734512179,49.9703673315517,49.504911520806,49.533537466538,49.6568253844375,49.5233065328648,49.3665355593077
556.57569591845,62.8261278120974,63.419254461076,62.8091404028962,61.9612026158989,61.229004345809,59.9734710717721,58.8820811974871,60.0983182960223,61.323049099158,58.0692439005863,58.6460994768962,59.1182675856586,59.8851570106837,59.1889802348036,58.793869470189,57.8037900483692,57.4051999348821,56.7324575969965,55.3991506422792,55.5569493470282,55.837036931268,55.7875073767295,54.3548343115639,55.611800258666,55.5439529556513,52.8786693854916,52.4099806256017,52.4851959615229,51.4983912209949,51.9914354229926,51.6105490552393,51.5634755116696,51.4185708645071,51.608809380803,50.0929389440675,49.8965604003495,49.5808606570612,49.5349127851855,49.5408481450269,49.0909888025649,49.1248612871771,49.2322094332741,49.1220982748371,48.9723839395273
