[Spectrum]																																																																																																																																				
IDData	00E5_2023-03-10_14-52-09_546_301	00E5_2023-03-10_14-52-12_546_313	00E5_2023-03-10_14-52-14_546_323	00E5_2023-03-10_14-52-16_546_335	00E5_2023-03-10_14-52-18_546_343	00E5_2023-03-10_14-52-20_546_353	00E5_2023-03-10_14-52-22_546_365	00E5_2023-03-10_14-52-24_546_373	00E5_2023-03-10_14-52-26_546_383	00E5_2023-03-10_14-52-28_546_395	00E5_2023-03-10_14-52-30_546_403	00E5_2023-03-10_14-53-31_855_418	00E5_2023-03-10_14-53-34_855_430	00E5_2023-03-10_14-53-36_855_440	00E5_2023-03-10_14-53-38_855_452	00E5_2023-03-10_14-53-40_855_460	00E5_2023-03-10_14-53-42_855_470	00E5_2023-03-10_14-53-44_855_482	00E5_2023-03-10_14-53-47_855_499	00E5_2023-03-10_14-53-50_855_511	00E5_2023-03-10_14-53-52_855_521	00E5_2023-03-10_14-53-54_855_533	00E5_2023-03-10_14-53-57_855_550	00E5_2023-03-10_14-54-00_855_560	00E5_2023-03-10_14-54-02_855_572	00E5_2023-03-10_14-54-04_855_580	00E5_2023-03-10_14-54-06_855_590	00E5_2023-03-10_14-54-08_855_602	00E5_2023-03-10_14-54-11_855_619	00E5_2023-03-10_14-54-42_415_631	00E5_2023-03-10_14-54-45_414_643	00E5_2023-03-10_14-54-48_414_655	00E5_2023-03-10_14-54-50_414_665	00E5_2023-03-10_14-54-52_414_677	00E5_2023-03-10_14-54-54_414_685	00E5_2023-03-10_14-54-56_414_695	00E5_2023-03-10_14-54-58_414_707	00E5_2023-03-10_14-55-01_414_724	00E5_2023-03-10_14-55-04_414_736	00E5_2023-03-10_14-55-06_414_746	00E5_2023-03-10_14-55-08_414_758	00E5_2023-03-10_14-55-11_414_775	00E5_2023-03-10_14-55-14_414_787	00E5_2023-03-10_14-55-16_414_797	00E5_2023-03-10_14-55-55_677_814	00E5_2023-03-10_14-55-58_677_826	00E5_2023-03-10_14-56-00_677_836	00E5_2023-03-10_14-56-02_677_848	00E5_2023-03-10_14-56-04_677_856	00E5_2023-03-10_14-56-06_677_866	00E5_2023-03-10_14-56-08_677_878	00E5_2023-03-10_14-56-10_677_886	00E5_2023-03-10_14-56-12_677_896	00E5_2023-03-10_14-56-45_927_913	00E5_2023-03-10_14-56-48_927_925	00E5_2023-03-10_14-56-50_927_935	00E5_2023-03-10_14-56-52_927_947	00E5_2023-03-10_14-56-54_927_955	00E5_2023-03-10_14-56-56_927_965	00E5_2023-03-10_14-56-58_927_977	00E5_2023-03-10_14-57-00_927_985	00E5_2023-03-10_14-57-02_927_995	00E5_2023-03-10_14-57-04_927_007	00E5_2023-03-10_14-57-06_927_015	00E5_2023-03-10_14-57-08_927_025	00E5_2023-03-10_14-57-10_927_037	00E5_2023-03-10_14-58-30_167_049	00E5_2023-03-10_14-58-34_167_060	00E5_2023-03-10_14-58-37_167_072	00E5_2023-03-10_14-58-39_167_082	00E5_2023-03-10_14-58-42_167_099	00E5_2023-03-10_14-58-45_167_111	00E5_2023-03-10_14-58-47_167_121	00E5_2023-03-10_14-59-29_346_132	00E5_2023-03-10_14-59-32_345_144	00E5_2023-03-10_14-59-34_345_154	00E5_2023-03-10_14-59-36_345_162	00E5_2023-03-10_14-59-39_345_174	00E5_2023-03-10_14-59-41_345_184	00E5_2023-03-10_14-59-43_345_192	00E5_2023-03-10_14-59-46_345_204	00E5_2023-03-10_14-59-48_345_214	00E5_2023-03-10_14-59-50_345_222	00E5_2023-03-10_14-59-53_345_234	00E5_2023-03-10_14-59-55_345_244	00E5_2023-03-10_14-59-57_345_252	00E5_2023-03-10_15-00-00_345_262	00E5_2023-03-10_15-00-36_756_270	00E5_2023-03-10_15-00-39_756_282	00E5_2023-03-10_15-00-42_756_294	00E5_2023-03-10_15-00-44_756_304	00E5_2023-03-10_15-00-47_756_321	00E5_2023-03-10_15-00-50_756_333	00E5_2023-03-10_15-00-52_756_343	00E5_2023-03-10_15-01-24_316_358	00E5_2023-03-10_15-01-52_397_370	00E5_2023-03-10_15-01-55_397_384	00E5_2023-03-10_15-01-58_397_396	00E5_2023-03-10_15-02-01_397_411	00E5_2023-03-10_15-02-04_397_423	00E5_2023-03-10_15-02-06_397_433	00E5_2023-03-10_15-02-09_397_450	00E5_2023-03-10_15-02-12_397_462	00E5_2023-03-10_15-02-15_397_477	00E5_2023-03-10_15-02-18_397_489	00E5_2023-03-10_15-02-20_397_499	00E5_2023-03-10_15-02-50_207_516	00E5_2023-03-10_15-02-53_207_528	00E5_2023-03-10_15-02-56_207_540	00E5_2023-03-10_15-02-58_207_550	00E5_2023-03-10_15-03-01_207_567	00E5_2023-03-10_15-03-04_207_579	00E5_2023-03-10_15-03-06_207_589	00E5_2023-03-10_15-03-09_207_612	00E5_2023-03-10_15-03-13_207_624	00E5_2023-03-10_15-06-33_766_646	00E5_2023-03-10_15-06-38_766_681	00E5_2023-03-10_15-06-46_766_703	00E5_2023-03-10_15-07-16_888_738	00E5_2023-03-10_15-07-25_888_757	00E5_2023-03-10_15-07-30_888_780	00E5_2023-03-10_15-07-56_767_801	00E5_2023-03-10_15-08-01_766_820	00E5_2023-03-10_15-08-06_766_837	00E5_2023-03-10_15-08-11_766_856	00E5_2023-03-10_15-08-41_157_873	00E5_2023-03-10_15-08-46_157_892	00E5_2023-03-10_15-08-51_157_916	00E5_2023-03-10_15-08-56_157_937	00E5_2023-03-10_15-09-22_937_972	00E5_2023-03-10_15-09-31_937_000	00E5_2023-03-10_15-09-38_937_026
623.42304722976	63.6134597199282	63.6869856580144	63.4138893165515	62.8459111704892	63.0141001329191	62.980773561335	62.8933723580369	63.161411359843	63.638616742836	63.4398243917142	63.2670967911309	51.2192169750667	61.4931376500046	39.7460136640944	65.0206968982544	65.9736812351065	66.7077735375857	66.69091573873	66.4702082490957	66.4027770536728	66.6005320017881	66.4258592705676	65.1936838495894	65.8061406495557	65.9301103088332	65.9860003958088	65.7798165482656	65.7319663345905	65.7825397311577	63.7605115961005	62.9937410989164	62.5787798963137	62.9762349231816	62.6149593261657	62.6692933086314	62.161095510819	61.701266628185	62.2028509818309	62.5184808465605	62.3310999285103	62.6794079879449	62.1177839352974	61.8096752423649	62.1926066271417	51.5122833244048	50.8020512910752	51.0127737767719	51.3770319074315	51.0383198258071	50.1018042616833	50.0631609996909	50.3509106586207	51.2911868086431	58.2853578785104	58.1748744583175	58.232839351306	57.9458677446312	57.9624661927353	58.2468442918939	58.162036596112	57.9882715925221	57.9929399060514	57.8761023924436	57.7073947285105	57.46178956672	57.1841545871037	3.3814872710852	3.56977591676614	3.60373465580726	3.54698546946695	3.59392795551137	3.61208250812524	3.61799894714672	3.01799098325848	3.02308074175915	3.13278610969722	3.13923745964394	3.2367209234116	3.16870618879751	3.19956892824108	3.21449780588159	3.24910492180177	3.26964225944621	3.25455128758593	3.2019192944277	3.23751518508846	3.25759865891755	3.6980410728675	3.69312961800857	3.65553996844468	3.56595049317965	3.64727316323658	3.59541922233323	3.53531468564375	3.69635529298192	3.28572200604706	3.40604454537985	3.50114522411694	3.51620377713326	3.42598213441115	3.52393567141613	3.59182073065441	3.30076434964141	3.21861499906367	3.42325895151907	3.36056090731332	3.66015965370803	3.4917275499485	3.27233302349434	3.11370762003069	3.27510483465234	3.0936241462016	3.09731989441228	3.33580352489086	3.49361035254468	1.67029477632293	1.51947078459727	1.687420658053	1.74224840047735	1.70202066748676	1.76387582174971	1.91915397957518	1.89557737531012	1.84962771636177	1.73068297789699	1.65369227586333	1.6562128409807	1.64912121886591	1.78668247847088	1.40249751708042	1.39482640812996	1.33993927913922
626.77217766704	62.326284695525	62.3749308965869	62.1257674277331	61.5744438156981	61.7288197003688	61.6593439606408	61.6084566066845	61.9046842863217	62.3518602050263	62.0928092969324	61.9409382302025	50.093676700039	60.1801830503028	38.9508759261002	63.6572658497827	64.5857623107017	65.2917254724539	65.3956095007379	65.0525812753636	65.0196231445629	65.1565971361708	65.0146135086812	64.4477336589081	64.4130617053057	64.5319746412349	64.5769295316471	64.4147755281074	64.3495184291219	64.3772032589945	62.4188311268135	61.5728618254196	61.260155080382	61.6262539973169	61.2304927626614	61.3474282107425	60.8473874502334	60.4249960458909	60.2135366786732	61.1513932487395	61.1246312465293	61.3387272642111	60.7843715041423	60.5304620644533	60.8580658846128	50.4129750712367	49.6933013270714	49.902783206441	50.2707277787006	49.9453651114356	49.0241194392928	48.9848333473783	49.2583858330246	50.1882006191755	57.0068423842827	56.968083622461	56.7256436122906	56.7186564885609	56.6833253723424	56.9344663290442	56.9028265234755	56.7475278111423	56.7356628840541	56.638238649407	56.4714705075552	56.2407635919499	55.9656291160251	3.30525051682342	3.48361992071712	3.51606720049046	3.45511113757446	3.50491087321441	3.52247755693121	3.52760254627073	2.92858851896696	2.9435515103505	3.02719924632283	3.052148551339	3.14532118711274	3.08210749223689	3.11229714005038	3.12658448975251	3.15553820766098	3.1781969225865	3.15810894186343	3.11172037276137	3.14523879178574	3.16476648428519	3.58020372302874	3.5740240735036	3.53640236719453	3.51562226572465	3.5262183047771	3.48151060034587	3.41832986360082	3.58976158096096	3.19513740181809	3.31301215662699	3.4046522393185	3.42737687050562	3.33179829118343	3.42752518209423	3.49179353715571	3.20835361226919	3.11920186845314	3.32309734465203	3.26558540640471	3.57016797219991	3.40575633670033	3.1868649109871	3.02649064651061	3.19205581658822	3.00636970765675	3.01220329680848	3.25425775750311	3.41632112618314	1.63262794152672	1.48920694272117	1.64815988780687	1.69584163640257	1.6556121179939	1.71612324614409	1.87161146772936	1.84608539542418	1.80174435019811	1.68430629062231	1.6121897806639	1.61363993841913	1.60376073871161	1.74353617143762	1.36580140158725	1.36015320192127	1.30568783088985
630.12100909688	61.4410670654438	61.5076681044413	61.200092397071	60.6931172153686	60.8870002400058	61.5111663408331	60.7157212043617	61.025315125035	61.4671692908287	61.1858303563967	61.1107528215268	49.3222343714121	59.3403761121745	38.4472669321038	62.7582876145059	63.621141075296	64.3973459116125	64.4186044250703	64.0999958183105	64.1075304813082	64.1988882701553	64.0830428265657	63.5795658812551	63.4812116196244	63.6146827927265	63.6290793809543	63.5047574414922	63.4308908346041	63.4446146850642	61.5355194480221	60.6406436694918	60.3432935761897	60.7581036837238	60.3832541995882	60.4711137520435	59.9486656016852	59.5684342154084	59.2678549808217	60.2783071078346	60.229197250796	60.72137220161	59.9109922866967	59.6349007068524	60.5747153682619	49.6408429781719	48.94751943483	49.1322532258272	49.5465251431471	49.2144617810342	48.2766653329277	48.2753198573924	48.5448186071137	49.6972184031011	56.1186349428904	56.1032965217879	56.0011749286584	55.8584199743627	55.8393142217614	56.0932054552732	56.0536484745352	55.9435885757474	55.9072607362942	55.8150956621259	55.6521585748007	55.4530281955758	55.123790332087	3.26062285126224	3.4335837313255	3.46185553601106	3.39964411094747	3.44774486133457	3.46627878683337	3.47423391093585	2.87438728040919	2.89056662372121	2.96806601455469	2.99292367506943	3.08740969453611	3.03439795844515	3.05733831632208	3.07252537142682	3.07089398234026	3.15153842223751	3.09894714725134	3.0561442067845	3.08520647834705	3.10755819067728	3.50248889717723	3.49739290858726	3.46111552446665	3.4453566422594	3.45344631391541	3.40933153480165	3.34727147573578	3.52435287462591	3.13643545935373	3.2521968107224	3.34451325088841	3.36921954540542	3.27681901301845	3.37027910738947	3.43284371978108	3.14931838760426	3.05409235659316	3.26067330659481	3.18411574863605	3.51828141627285	3.35139199456265	3.13404724027857	2.97581931732688	3.14025324618515	2.95619219295564	2.95064210637251	3.2041431559598	3.36984687735452	1.61092605325352	1.47108615679247	1.6238144484936	1.66582986431599	1.62598276541577	1.68668053050215	1.83992178475112	1.81424842969311	1.7705078609626	1.65473810037183	1.58605577890564	1.58783853398992	1.57843702368698	1.71564189139955	1.34411741467582	1.33797447793495	1.28344697956126
633.46953	61.5484271786887	61.6043672251463	61.2811580678361	60.8004880390157	61.0094690026954	61.0734202162999	60.8833621819158	61.1564324827715	61.5926267215688	61.3659659407371	61.241654726387	49.4207632302655	59.4938390526248	38.624142015299	62.9031431679617	63.7988745291399	64.5534436002449	64.5155977416539	64.2133833672117	64.2385218572247	64.3447388837083	64.2432180586557	63.7238734298153	63.6403086690578	63.7300889905328	63.7722166798403	63.6893425369403	63.5662744347337	63.5579870204437	61.6627934958908	60.7540785189917	60.4811463417075	60.9069813126423	60.529627715304	60.6073912860586	60.0834885793587	59.9467462435736	59.3970144290032	60.449239796691	60.3789348987974	60.7424761389857	60.0547588764867	59.7663568591945	60.2189878030003	49.8025367818918	49.0559788779338	49.2605398873254	49.6907948125482	49.325043595216	47.5493269600107	48.4007206547373	48.652519925582	49.6913473068342	56.303322674544	56.2303934287919	56.1852270209114	56.0337054629758	55.9867434486658	56.1877132451984	56.1645084851864	56.0763856465693	55.3006836690248	55.9519363086477	55.4664319548249	55.4285860962339	55.2497160711412	3.2660728039749	3.43927976263602	3.46457364166698	3.39822253100762	3.45102026621353	3.46849289800829	3.47603789810149	2.86335626581992	2.87810095707756	2.95517390997461	2.99032635892139	3.08079729825395	3.03134905965692	3.05116979216718	3.06582815619263	3.0815569778972	3.12611909515242	3.08860128004371	3.04652538707549	3.07729241262714	3.10054896897847	3.48546483185637	3.4802334015858	3.44299183362009	3.42805722245164	3.43045711950646	3.38548063153674	3.32581124864869	3.51909792151664	3.1286398503323	3.24530247191057	3.34038328544195	3.36823245054566	3.27865931442785	3.37553573438873	3.42546740548601	3.13968973605231	3.04628367082537	3.25586892513033	3.19001851241766	3.53026866536171	3.35707897214703	3.12774204711755	2.97183506578681	3.13659922113999	2.95168628979424	2.94101624389585	3.20910733054132	3.38076903174628	1.62408848478186	1.4859135837142	1.6363301530778	1.67524600257621	1.63340750949651	1.69416461551011	1.8510125636717	1.82279219146958	1.77998683338938	1.66300480105201	1.59607098157539	1.59790111889776	1.58910437393785	1.72933432990333	1.35292864071006	1.3475159232519	1.29177227124759
636.81772885712	62.0774726399728	62.1529692805224	61.8740155917122	61.3485248507118	61.5303708078924	61.5194230841215	61.3826476261014	61.668852404682	62.0948183841292	61.9203656949497	61.728425083383	49.8522774654823	60.0188740363624	39.052544531146	63.4566014786372	64.3786273053113	65.1399917311925	65.0831204388765	64.7745936780619	64.7876740752946	64.9200420081602	64.8181002166837	64.3295758156887	64.2000514474389	64.2873488811441	64.4023710698533	64.2786760090658	64.1494359972776	64.1511421360471	62.2028738395298	61.2879569243952	61.0530784871299	61.2610852387758	61.1106606705999	61.1395228514503	60.6565434014561	60.3494384229494	60.0087793819763	61.0227945239716	60.9529850126536	61.2350666225412	60.6090558723722	60.2814772286318	60.7832242050902	50.2785278013912	49.5202912965874	49.7231796319249	50.140472739294	49.7716624086243	48.7269367687784	48.8278833126394	49.0819558110613	50.1000941217496	56.8473042421266	56.7824709688863	56.7462155200348	56.5262657970025	56.5214317371556	56.7334194792637	56.7351256180332	56.5804357029335	56.3705806342873	56.4523331169916	56.1726685370274	56.3102970644323	55.7934791955101	3.27705908821725	3.45311128249315	3.47402925469815	3.39997216873533	3.45399989643559	3.47582425486187	3.48327083969951	2.85420325756852	2.86810117962825	2.9467968303706	2.97722297175969	3.07770743637062	3.11254110291421	3.04657040382758	3.05782025633885	3.08104862479419	3.11412283573175	3.08126189214038	3.03923045266304	3.07250015866794	3.09547971521939	3.4632237091581	3.45687900560909	3.41470538790096	3.40349107994739	3.40180271345676	3.35806513520994	3.30496156600982	3.535272527611	3.12727432207984	3.24992081841518	3.34619325293896	3.36910172037502	3.27785884076545	3.37629949330877	3.43377504310569	3.13416996627316	3.02874480814227	3.25375963064652	3.18437665402093	3.55252941037316	3.37489548327972	3.13082877784959	2.97194460494161	3.13962605587973	2.95120435552509	2.94086088923511	3.22517971853923	3.3961223826461	1.65155445936439	1.51261248292996	1.66192628367789	1.69957515681376	1.65586868005493	1.71968893340086	1.87810214091935	1.84809364808321	1.80675088441126	1.68881404197084	1.62031523621797	1.62347870185305	1.61178454237056	1.75725064474773	1.37308454322314	1.36783283482333	1.31089267492674
640.16559414896	62.1942037023928	62.2483332084893	61.9420394178944	61.4051451297827	61.6323717014453	61.6025931384707	61.4958010505622	61.7963738364477	62.2200215697993	62.0321085689602	61.8419951816944	49.9927675815532	60.120412841454	39.1991444556152	63.5563895929409	64.494487672852	65.2087331069548	65.1658989178486	64.9875209248585	64.9138813257787	65.1323063517345	64.9241497957699	64.4861262044306	64.3049610553	64.4346371620461	64.5057829898424	64.3596773311103	64.2527385507733	64.2571393236267	62.3288673517061	61.4139466754894	61.182172638545	61.4284692259055	61.2283807535054	61.266080707616	60.7888902378817	60.4271467093342	60.1152786064584	61.1060392681816	61.1026653423273	61.3171296727151	60.4230393213378	60.4600058133061	60.8931885545067	50.3163710787047	49.631757515148	49.7961997274358	50.1792136581079	49.9043120472004	48.8554611838126	48.9041630700566	49.2111903227938	50.1507553269894	56.9564038523057	56.8683883952382	56.8336222896965	56.5987677117547	56.641308516004	56.8705887816648	56.8089779617176	56.6256124261603	56.5622412970717	56.5436113586591	56.2893933801624	56.5739766913474	55.8955242097854	3.24100222317693	3.41802331120395	3.43102392767496	3.34438371212414	3.41035863181766	3.43254586162009	3.44749015276801	2.79712927125338	2.81113839816996	2.89068236749471	2.91580344586606	3.02805982673424	2.98676590812674	2.99197348933656	3.0095215710894	3.0298568089827	3.05374933826582	3.03106702151738	2.94908429056971	3.01476582540634	3.03715475729788	3.37630765186467	3.36877132835326	3.32558874472952	3.31137791572383	3.31458681259608	3.27375130782747	3.30444669847976	3.45823537315167	3.06698832993306	3.19451905991316	3.29714875016458	3.32243485751793	3.23324586102286	3.32722069799598	3.3855309383032	3.08400465163277	2.96863105666012	3.19682946566118	3.12920425614765	3.5199378758667	3.34623570403327	3.09607010387244	2.92686038766017	3.10019582842248	2.91008244115668	2.89776027716722	3.19677517588888	3.36472883818258	1.66299159297208	1.5264600872374	1.67193313487178	1.70700848978261	1.66240940739669	1.72767836977831	1.88683048636526	1.85892225185344	1.81585427168942	1.69739096744263	1.62646976242745	1.63121892979839	1.61874090510371	1.76742284961035	1.37891271698202	1.37452569654382	1.31862442095998
643.51311435624	61.135576545282	61.1668948328085	60.9517518141486	60.414348155724	60.6078558356579	60.5553560976305	60.4506592137257	60.785174835566	61.1839912892843	60.9929043465505	60.7995479626917	49.3709450488187	59.124700412365	38.5563463935985	62.7393149403554	63.4154570995614	64.0486311734654	64.0779826120167	64.1636161904706	63.8017159790541	63.5286265636666	63.8368166684557	63.3795999297847	63.2581091815542	63.3373883248578	63.3671936516342	63.4588790730884	63.1579511798996	63.1543200740994	61.2826363301888	60.368959333222	60.1625914869125	60.4111709381489	60.1339965287362	60.2001129135142	59.7515200511187	59.4410605052045	59.0213651931353	60.0595588598328	60.0724190262084	60.2990605465688	59.5512040478096	59.4341008857542	59.8127949614965	49.4759445248735	48.7725690721663	48.7515389177404	49.3154193892912	49.0209972273277	48.0345468182825	48.0793304564846	48.3388032251215	49.2724513039892	55.9458185803946	55.8741042408413	55.8273537536641	55.6287020071801	55.6290045993301	55.5822541121529	55.8346159652645	55.6917924704579	55.5937526138535	55.5854313297281	55.3504685252423	55.1837402505847	54.9415152344986	3.12894779571146	3.30301393000693	3.30995463744787	3.21140415659023	3.28353456034979	3.30777975636964	3.31876763381702	2.66978312007482	2.69206146711959	2.76559135957296	2.78503290521135	2.89366348706632	2.853796971302	2.86393380832746	2.88305384980646	2.89755936099775	2.91709546668302	2.8943821434226	2.89220726234438	2.88233519345018	2.90406509222305	3.20007586297409	3.19298385945814	3.14368025101526	3.13481051861798	3.14050303344011	3.09668390771624	3.05821688064573	3.29751053527855	2.93687742849017	3.06058088181771	3.15894224258158	3.18910689753609	3.10869303366991	3.19336209964566	3.24873646309819	2.95749151870987	2.82964633532902	3.05683630396129	2.99049297507075	3.39995689006761	3.22965424563795	2.98219060295475	2.8161809846534	2.98916913441444	2.79547233438683	2.78276346408625	3.0907133110378	3.25287433543115	1.63112032256708	1.49985110105911	1.6393791782319	1.66979538174072	1.62541362373791	1.69060332005652	1.84615459717301	1.81839176740924	1.7756742662315	1.66030155303404	1.58860139748779	1.5929038796208	1.58182144212654	1.72827604273324	1.34673710915093	1.34319110739295	1.28830136418068
646.86027795968	59.2432824757901	59.1998268258314	59.0652544904754	58.4867803544661	58.7196341060369	58.6235332600709	58.5157507877719	58.8404999998288	59.2370522750791	59.0151013747524	58.9001541716359	47.5384486451585	57.226410750646	37.3003808704312	60.6559804869922	61.3548532517401	61.9898664592011	62.0284937036088	61.8839530471154	61.7637101733945	61.8077888434243	61.9932930695921	61.3067249512482	61.2040823945358	61.2969123851285	61.2939530397908	61.2902149193643	61.1093833437297	61.0888236813837	59.2993542821884	58.1989450816214	58.1547106565738	58.4947238603725	58.1196657775748	58.277445610579	57.7791853087228	57.4820047348117	57.0891905799879	58.0822845733093	58.0590770756611	58.3092196342047	57.61221592967	57.4524112814348	57.839462500601	47.8596154918067	47.185975039938	47.2428256214252	47.5121260471549	47.422099646882	46.4318092438806	46.491930680741	46.7506397652621	47.6977860283404	54.0631820946919	53.9865506259476	53.9860833608942	53.7619518903187	53.7454418584348	53.6440453418645	53.9907560114274	53.8549376359293	53.7932586488911	53.7650669906742	53.5287866287124	53.4636810312832	53.0937628640721	2.96589682831827	3.1359813077265	3.13541669578708	3.03220952713517	3.10436303911856	3.12792098555675	3.14413897678237	2.50546552640373	2.53015269672077	2.56940296119959	2.61254710112274	2.71491708655412	2.68053416638071	2.69762827958131	2.70960194657261	2.71647463673185	2.73203066913194	2.70899839587874	2.67556947518919	2.69799819774852	2.72772793676596	2.96868094926096	2.96067903522287	2.92218807645569	2.96807739856709	2.9171649771325	2.87415712284991	2.82719698499131	3.08791141536628	2.72751377361652	2.96385254371	2.96944025497261	3.00469929712099	2.92121460759461	3.0479797226847	3.05907726770103	2.78202802983711	2.64410696159902	2.86467553614297	2.80899311728908	3.22702011561489	3.05695510558387	2.82532792477803	2.6540752827365	2.82900763707292	2.6394148416886	2.62878456172559	2.9331324981461	3.08605472153347	1.56585299250369	1.44340343606331	1.57341993714941	1.59734471015969	1.5553346614597	1.61692603630035	1.76462073190371	1.74173447897967	1.6974075743903	1.58730824620194	1.51498437716785	1.51923843609078	1.51019491037133	1.6510655892585	1.28656543418224	1.28322156864443	1.22999959233692
650.20707344	57.6720618413961	57.6417741353391	57.5206233111112	56.9485221967019	57.2227140753446	57.1036465324857	57.0158282101618	57.2864945357185	56.7743278237711	57.5324819896732	57.3622939270674	46.24077646488	55.7642568646332	36.3600968200354	59.0015158596426	59.7494138711127	60.385455698309	60.364622884619	60.2245622756572	60.1585382815013	60.1779288234742	60.2937913180731	59.6912422451938	59.5683286444229	59.6523009088348	59.7011778947998	59.6829091197178	59.9266530398905	58.4343825700362	57.715329992906	56.7735265617061	56.6443631168282	56.9797714172369	56.6371517582432	56.7187202364601	56.2406872884817	55.934925684478	55.6086517716104	56.5640766579153	56.5315454180763	56.7427580984101	56.1208184835578	55.936207703782	56.3142431460486	46.6260232657316	45.9531233835454	46.0087309708563	46.4011891302928	46.1701051507471	45.2233338947442	45.2534613483882	45.5138715195129	46.3845228793409	52.6769941281917	52.5116136379759	52.7938181372686	52.407449569526	52.3443101188041	52.462095642359	52.4986331925229	52.410814870199	52.3560085449531	52.3356564885021	52.1012072082834	52.0255680693475	51.6680449359449	2.83607578860072	3.00277836122378	2.99354381592466	2.88555372111441	2.96159349108283	2.98655280440755	3.0021573831234	2.37424836588687	2.39460042233784	2.44580106829128	2.47865281295625	2.56775315458415	2.53778595335318	2.56078217461865	2.57418328265576	2.57548533351139	2.5896877036135	2.56454810632415	2.52186086981132	2.55034573622204	2.58237618727038	2.78918192624665	2.77770384716553	2.7399043092492	2.74060541355608	2.73473616892996	2.69048647139038	2.64289150472944	2.91726366733675	2.60090537252348	2.74130651786295	2.82133256660473	2.85688857073907	2.77892577181466	2.87581838702467	2.90670703963039	2.63716248096469	2.4963406730411	2.71931187417873	2.71394341834323	3.09247964940043	2.918585749744	2.69144798586838	2.52606749565257	2.70064246806425	2.51567112035921	2.50004651009172	2.8061090103054	2.95875944946354	1.51894681689497	1.40358772076459	1.52663152662101	1.54449706099262	1.50433880787245	1.56347194826938	1.7062368167006	1.68566441318175	1.64303226343589	1.53498207397076	1.4621924232535	1.46575803944274	1.46213232859862	1.59535216268054	1.24285204658182	1.24013276344873	1.18771770467802
653.55348927792	56.8788781569348	56.8239090501577	57.1150967509231	56.1722032436827	56.3833308339769	56.3082228952874	56.2118206179365	56.5143983137999	56.6850831678766	56.7351001028721	56.5330514941777	45.5851202639255	54.9642034737272	35.9045671784989	58.1472944226273	58.9058020671949	59.55206048471	59.5098019521726	59.3714712870697	59.2856336428532	59.3858325852367	59.3982130146911	58.8369668794289	58.6954998388643	58.8146821064111	58.9066274291585	58.8372970242143	58.8001557358514	58.4515228424179	56.8996772784181	55.9919441908279	55.8707810545683	56.1865645418497	55.8217545539293	55.9028050987568	55.5946149415408	55.1518907842546	54.8603729387037	55.823735422642	55.7575413931596	55.9424224730106	55.3433747598146	55.123498332706	54.9958973731302	45.9700690837583	45.3482413803663	45.4174067129178	45.7711568505256	45.503409429527	44.6083869161766	44.6215927075946	44.8749788304261	45.5133137730905	51.9920750427286	51.7682368781946	51.9430485420895	51.0607366029788	51.6196717247429	51.8093399039829	51.7667512266601	51.6911480707924	51.6020089787214	51.6018439063287	51.3603429957732	51.2854001294764	50.9795209857586	2.75805685675066	2.91937385254035	2.91097579456051	2.79788057149536	2.87212188012306	2.89931755682436	2.9168771326004	2.29719537031387	2.31184554516814	2.36532900041077	2.38988351882849	2.47312127285966	2.45042381886008	2.47262605568148	2.48494458298852	2.48294308022674	2.46897382899246	2.47353395384147	2.43661964001852	2.4641041934071	2.4915268446484	2.66704006621237	2.65670240761802	2.61813736986784	2.61440260698245	2.6105853079007	2.56909023517967	2.52600634067866	2.80714525953701	2.5102419271735	2.64335217785645	2.72912791992575	2.76538194417779	2.68730270241926	2.7819098174993	2.81744165003318	2.55056085909638	2.40253219092098	2.62775283674402	2.59510977108281	3.01511584032037	2.8441627436054	2.61687869287331	2.44652398358197	2.6256068956386	2.43618632498762	2.42380589553331	2.73326940297912	2.8812258519827	1.50588612200849	1.39294158485193	1.51235082693878	1.5265408051481	1.48758887897747	1.54450790339367	1.68822405530915	1.66833283198589	1.62441841700899	1.51887525591097	1.44742470242277	1.44970476484728	1.44290584567195	1.57864693761394	1.22978557943705	1.22661309438938	1.17438573688514
