"","wavelength","nadir","nadir","nadir","nadir","nadir","nadir","nadir","nadir","nadir","45","45","45","45","45","45","45","45","70","70","70","70","70","70","70","70","-70","-70","-70","-70","-70","-70","-70","-70","-70","-45","-45","-45","-45","-45","-45","-45","-45","-45","-45"
"11",329,14.0878578626349,14.2562543113504,14.1001867253868,13.8371890257975,13.7203937836706,13.4477967147114,13.1692558950036,13.5171775263477,13.7486343155945,13.0117677401413,13.1472986602844,13.2836109935295,13.4624203491407,13.2792493334727,13.18370055641,12.9404931738003,12.9239256831133,12.7327624801948,12.4301106853971,12.4420270123332,12.5052852295001,12.5349117996303,12.127246958442,12.4898956686575,12.5053115019326,11.8350692397805,11.7192962804506,11.7886195298708,11.5719986220781,11.6544236354848,11.5571789120562,11.5760467045217,11.5483270145283,11.5991800478268,11.2043905377344,11.2007862288177,11.0781256827315,11.022263256957,11.0942805962823,10.9936361056817,10.9881463318537,10.9492155841369,10.9654825234524,10.9062981005372
"12",330,14.608851281501,14.8099649437371,14.6250504507201,14.3502103189448,14.2335724913995,13.9531011958379,13.6726743226648,14.0154201968579,14.2785614582621,13.5179772715689,13.6435275905455,13.7849916019273,13.9630129190345,13.7971681299256,13.7018645433423,13.4406521119905,13.4093919229371,13.1941469860441,12.8891884086978,12.9001971905498,12.9915423641667,12.9848486853343,12.5787307328607,12.9451924812587,12.9528337867262,12.2798551572604,12.1559652748912,12.2226462464763,12.0034312245162,12.0804039573026,11.9876963903945,11.9157647053691,11.9799414044911,12.0441337488732,11.6470508885363,11.6198395509996,11.4935986845144,11.4399446391972,11.5033741686688,11.413658084446,11.4678175048579,11.3588186735266,11.3609461867872,11.3209321743626
"13",331,15.0539026619695,15.2774967690093,15.0667653640899,14.7993265525314,14.6649369422169,14.3688605348917,14.1013612151951,14.4317019087888,14.7277135814445,13.9457802801386,14.0571427313548,14.2003379127361,14.3744373990117,14.2482971256645,14.1429146309855,13.8615451328147,13.8084294129725,13.5890531245844,13.2713440555795,13.2872310314965,13.4089377730948,13.3484978759199,12.9643842139834,13.3261936888794,13.3206375213747,12.6526360427444,12.5248673941011,12.5801613674897,12.3675781828898,12.4357261222183,12.3562374803745,12.1597019564299,12.3407219279192,12.4079411672143,12.0166398195627,11.9702047958129,11.8419660495614,11.8054860245679,11.8410934412667,11.7647235484466,11.8980792734335,11.7039485733349,11.7004419801075,11.669695606588
"14",332,15.4072976327096,15.6405194674335,15.4105935670091,15.1686349832507,15.0008948476313,14.6885450832314,14.4356915823799,14.7572908335436,15.0741385761777,14.2798316464365,14.3778099773456,14.520418437333,14.6939163090579,14.6057723555039,14.4869279293436,14.1921199264699,14.1128658855258,13.90101732094,13.5712443579091,13.5936833174023,13.7370130276698,13.6289805326647,13.2780263154501,13.6268602662897,13.6063995269661,12.9492639492337,12.8163543764013,12.8587840504355,12.6495625507068,12.7130970328654,12.6494664221738,12.3558656286157,12.6241033413577,12.6842167199401,12.2982427884435,12.241535299056,12.1125028421869,12.0986074835527,12.102686735201,12.0344452257494,12.2349620840726,11.9793582080241,11.9744614065984,11.9461684943876
"15",333,15.6566205112016,15.8843847116264,15.6452280078502,15.4448813873151,15.2310638959986,14.9084099845537,14.6596422474055,14.9861334144211,15.2999490845719,14.5079342001745,14.5980807959701,14.7389379281392,14.9210453539694,14.8465861517657,14.7172142570002,14.4241148998622,14.3173700155656,14.1166791948102,13.7858127960916,13.8126623358408,13.9588562925599,13.8312793146767,13.5153307917704,13.8433776315399,13.8099701571195,13.1675677805866,13.0232033511381,13.0580964254401,12.8375890157152,12.907658731996,12.8566279001298,12.5500681930715,12.8256462661134,12.8690744959683,12.4800578982985,12.4260701208531,12.2971621864392,12.3019979536694,12.2855509956059,12.2133042407095,12.4395074676843,12.1816588823945,12.1755828619511,12.1459349865919
"16",334,15.8317036039987,16.041600915301,15.803301954275,15.6487331760732,15.3861731560887,15.0603753513063,14.8033206159936,15.1464774633097,15.4393170881833,14.6582077013826,14.7474629948767,14.8872060701387,15.0858131906125,14.997121331705,14.8584864620323,14.5850098946294,14.4529949270472,14.2624230985905,13.9408752327816,13.969979987738,14.1029789514708,13.984216206675,13.6957267868785,14.0004201339733,13.9590362682343,13.3306940446241,13.1692542053376,13.2028201608203,12.9593303332413,13.045740677591,13.0000157953122,12.7600086272621,12.9681376406063,12.9906419124395,12.5901480134023,12.5491646520218,12.4221960602294,12.4363711237097,12.4146009257668,12.3285183660313,12.5369386426761,12.3312623842536,12.3231127136405,12.2902452508868
"17",335,15.9916101492009,16.1773037367135,15.947850510659,15.8243277772308,15.5253962208507,15.2010375061675,14.9287513502824,15.290303541968,15.562433868448,14.7866667627495,14.8810340780289,15.0225509987481,15.2392370341588,15.1179334605783,14.9641037055731,14.7270138686337,14.5759677548325,14.3921323399239,14.0822547796298,14.1140754541398,14.2293202272899,14.1331073676661,13.8550795444463,14.1423733096364,14.1005444951076,13.4793062284269,13.299838815664,13.3350707023508,13.0697667922242,13.1752505664937,13.1247903743525,12.9839344832147,13.0932020007198,13.0991960657195,12.6841579996831,12.6590871182113,12.5375874514271,12.5487496009715,12.5337904713686,12.432723068296,12.5968854502319,12.4650478009142,12.4548501268051,12.4181074987539
"18",336,16.1955686447576,16.3568489740708,16.1420688665528,16.016032464831,15.7080801498906,15.3870884319967,15.0981836477538,15.4697229988898,15.7397079225206,14.9495267881564,15.0540130926088,15.2024138825508,15.4323968459825,15.2698927212186,15.0877484137937,14.9024774751973,14.7426342100069,14.5598898820376,14.2558796144221,14.2935109216827,14.3980175819584,14.3232662780089,14.0293934966463,14.3137476203644,14.2814956028392,13.6541367381113,13.4604324900586,13.4970344801989,13.2240172137037,13.3441782321731,13.2762908759457,13.2197291412584,13.2425864852792,13.2451139334371,12.8178993105105,12.8042378297328,12.6934213609028,12.6863997376857,12.6871461851448,12.5786662275022,12.6894242578223,12.6199881210074,12.6087286713743,12.5686423504983
"19",337,16.4727262556164,16.6145785555262,16.4170187824543,16.2510398392605,15.9652087311802,15.6466765956912,15.3441874733195,15.712180603295,16.0054557210845,15.1773913273089,15.2950887748508,15.4550138455475,15.6907000105057,15.487423135651,15.2652092395002,15.1384383543921,14.9817279847457,14.7946534446182,14.4865250077343,14.53320964699,14.6383429338186,14.5761423224841,14.2410817710866,14.5397375614651,14.5251374266311,13.8757284214091,13.6759679762486,13.7110335217728,13.4479597709603,13.5754447489245,13.4798941828876,13.467035587708,13.4398091671537,13.4541581164594,13.0195638898139,13.0096204453301,12.9130520669394,12.8763371971217,12.8965852644567,12.7906913453153,12.8529722621492,12.8161675522064,12.8057953469418,12.7635585070166
"20",338,16.8025089426344,16.9335718218194,16.7506489209837,16.5281546148378,16.2808843190297,15.9607711060221,15.6502762165135,16.0043499251293,16.3343375017006,15.4585302930193,15.5890981139569,15.7602691188707,15.9971199070453,15.7612360699875,15.5026983550502,15.4200944612643,15.2763430774156,15.0838514254356,14.7640027524127,14.8190222809734,14.9285507814554,14.8737401057291,14.4900925325332,14.8136104156501,14.8154567664418,14.1312529601912,13.9374233820911,13.9665561358546,13.719140995359,13.8505352317026,13.7279815533558,13.7284052480866,13.6782574362165,13.7114063015101,13.2716916066739,13.2615664782167,13.1756508419272,13.1121054344275,13.1474805231206,13.046192544792,13.0736174599087,13.0457549659594,13.0391854707966,12.9957846414567
"21",339,17.159682181659,17.2921031512085,17.1159295295958,16.8435206427769,16.6348149610783,16.3059188399317,15.9953650790674,16.3290829542594,16.6954217833607,15.777245567081,15.9167677720882,16.0935705777437,16.3306524761512,16.0779456006357,15.8036556599591,15.7287220191072,15.6052955709001,15.4110195815687,15.074847432579,15.1331371076224,15.2421136411113,15.1943669806768,14.7742682521255,15.1256408531548,15.1327603933651,14.4047540787279,14.2325941674555,14.2500130498145,14.0105771801753,14.147050905864,14.009841488288,14.0066621627422,13.9484944627952,13.9981226829416,13.5525432541837,13.5427826107554,13.4562475815463,13.3841104762223,13.4217793842202,13.3181632736794,13.3325429092167,13.2983026638149,13.2994181328182,13.255551807503
"22",340,17.5185971025387,17.6661202046208,17.4854567567322,17.1880797352735,17.0043522628339,16.6577525693514,16.3560928212899,16.6675236555967,17.0582109786276,16.1150129845499,16.257085376071,16.430364152536,16.6695180123703,16.4205440502143,16.1624086531924,16.0449408613123,15.9461853453632,15.7566348502791,15.4024089801828,15.4560224222307,15.553516309767,15.516135451027,15.0856835269596,15.4615842333812,15.4563783285974,14.6802663354634,14.5457768135173,14.5460659223197,14.2971353436594,14.4429855167084,14.3115233161349,14.2996031696418,14.2380444802685,14.2946122726027,13.8403221812977,13.834627640199,13.7315658094595,13.6790332396772,13.7011443386902,13.582125685289,13.6094887655878,13.5619392611105,13.5746573969968,13.5301603111175
"23",341,17.8518321908078,18.0216165412084,17.8302262901318,17.5305184760327,17.3567665601555,16.9879943658492,16.6993591907997,16.993508765959,17.3940637722931,16.4412180605834,16.5815986568395,16.7463313091178,16.9886184616229,16.7565292481591,16.5343003978784,16.3465626710048,16.2714091540207,16.0880880051703,15.7164128307975,15.7607881090374,15.8415742976193,15.8163244215414,15.3917369849027,15.7878615172649,15.7614618872397,14.9417850758426,14.8462985614965,14.8318935916482,14.561600227678,14.7180120781799,14.6052186215743,14.5835178598333,14.5214306207304,14.5770765326166,14.1129859809429,14.112693876662,13.9855746846666,13.9676179752777,13.9660188881299,13.8244201755338,13.8780221960287,13.8187025957385,13.8429921166049,13.7943722093209
"24",342,18.1314919798019,18.3219242903109,18.120805902095,17.8335730646941,17.6566327581948,17.2673206963998,16.989460013807,17.2789212873991,17.674835160957,16.7220137195388,16.8598661391518,17.017216488524,17.2619685424169,17.0492562587401,16.8642506821873,16.6106483157161,16.5519725891889,16.3692709701379,15.9829416361818,16.0185766327195,16.0862610183626,16.0719899174974,15.6532296359114,16.0657242244751,16.0220451230639,15.1732951609241,15.0994843244887,15.082674213172,14.7888735371498,14.9522525905537,14.8594138420745,14.8289454282538,14.769699909707,14.8206197583486,14.3484265382175,14.3510318436534,14.2041806328676,14.2163479443422,14.1965206127613,14.0342796156129,14.1100598946032,14.0490020134345,14.0798173341847,14.0195972054732
"25",343,18.3342602624418,18.5356613097517,18.3322984784829,18.0645907311786,17.8733458374131,17.4709220285189,17.1954835325639,17.499609005732,17.876999428762,16.9281529671254,17.0658078382745,17.2227174338339,17.4676605129553,17.2667574611603,17.103168400351,16.8178200477026,16.7629542347939,16.5688164804856,16.1726748810872,16.2047471030289,16.2710592571585,16.2638892196991,15.8358728597728,16.2613921119481,16.2160269437001,15.3615893222765,15.2752119124434,15.2770416277408,14.9666937025336,15.1291130387319,15.0466655725952,15.0103707584022,14.9577331695082,15.0040374335843,14.5279418989947,14.5273407002402,14.3759623888708,14.3959083782653,14.3758117598178,14.2033741386939,14.2812664960914,14.2360236295936,14.2637452296484,14.1812256956788
"26",344,18.494439970663,18.6979541146168,18.4968705654938,18.2489383280765,18.0369503038012,17.6307869147668,17.3468194767269,17.6813073268758,18.035153526915,17.088270305673,17.2282230039052,17.3922747711252,17.6350928752149,17.4359186524284,17.2773224632776,16.9935117638689,16.930681758435,16.7150095559928,16.3141327283333,16.347715326434,16.4236087281114,16.4193511246312,15.9671642199831,16.4035990551039,16.3699363862688,15.5287906562064,15.4006470293071,15.4371115130424,15.1184923091737,15.2733204738078,15.1907441375253,15.1519265889578,15.1086508849361,15.1525700029957,14.6756885393437,14.6652291988109,14.5231230769391,14.529856858929,14.5253645030735,14.3540406324381,14.4144657619018,14.3978928084559,14.4138683516848,14.3047360579818
"27",345,18.6857017692474,18.8893706322707,18.6856769166096,18.451624067501,18.2189288791781,17.8177106631754,17.5140579980168,17.8838369022793,18.2236061702566,17.2705472237157,17.4134066046447,17.5893154817457,17.8287186379355,17.6238366717336,17.4644708019223,17.1937744943342,17.1164982803757,16.8768920767307,16.475354438053,16.5121475966165,16.6017189502152,16.5975239772638,16.1168161068385,16.5637911107261,16.5435285648298,15.7211613972339,15.5420967918418,15.6147081013453,15.2920879535716,15.4378341753073,15.3504111584632,15.31166708701,15.2785328348416,15.3231909923716,14.8451055532107,14.8196733880356,14.6908393680394,14.6778755026074,14.6928259119917,14.5295687550418,14.5647024815623,14.5766068262322,14.5769370788433,14.4498288112909
"28",346,18.9817206697284,19.1905249813388,18.9699246838703,18.7378061467524,18.4908915685599,18.1025178743943,17.7679284264022,18.1670895673487,18.5166630848104,17.5432544332797,17.6877184755431,17.8772652270479,18.1130120458652,17.8977494975929,17.7426189201097,17.4746808826356,17.3818265926494,17.1236416618093,16.7244818081241,16.7627822213786,16.863204320526,16.8575792056052,16.3546999398691,16.8135418846966,16.7966131942277,15.9849369798826,15.7659995919488,15.8617154188796,15.535288901373,15.6756356369719,15.5845372952205,15.5477177533075,15.5235288422164,15.5729015905684,15.089646087543,15.0457186793091,14.9242775239717,14.8997703201861,14.925870371664,14.7731965199358,14.7871101435572,14.8142041313078,14.7997932309066,14.6762644250346
